user_id,n_val,mle_top1,map_top1
AE6FCFUVHE4YJVR2K2ZQLKPGFQMQ,3,1,1
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,6,1,1
AE6GPYUO2SW4TCUF3Y53AYQ7TYZA,1,1,1
AE6IXBFY2MKS6WR3XOIWT5MHE4BA,1,1,1
AE6KHJWEUNYBZ2QC46FS4QP4J5EA,1,1,1
AE6KJAFCYI55NVGKDODHMTP3OXFQ,1,1,1
AE6KN7GVWQSWPPRR6EE52T4B3MAA,3,0,0
AE6KT2NCROIKTPLZP77ZZDU2BDOA,1,0,1
AE6M7VSRAABY3C45BDAIIUTTEWBA,1,0,1
AE6MQB5IFXKYCRQ3JUSCB4CJGAHQ,7,1,1
AE6NDJI3MQJGAX3QQSQV3L3GKCUA,1,1,1
AE6NGHIFBVSK6TJTONHV3YAIRFYA,1,0,1
AE6PIIY7MY6OQJKTMSFRVKTXO36Q,6,0,1
AE6PPCAOSGCULBPTRBEDQO72IUQQ,1,0,1
AE6PTKQ3DN6S67KCBIEAVCUN3BYQ,2,1,1
AE6PWX5NPM3P5D4ITOE7TU3RDZGQ,4,0,0
AE6S5HQTLCS4OL4Y7PQWOD7LL7OA,1,0,0
AE6SEXGZ6WBVE5D336WC7D2QVQRA,1,0,0
AE6SFGOYFVW5332HQFP5TSJPOZYA,2,1,1
AE6VILPJGYTNMUZJCTFQPDPOPIGQ,5,1,1
AE6WGK6ULJB44N7GQVVIO7XQP7LQ,4,0,1
AE6YHG4LZY3IPRB3U4HJVN423UQQ,1,0,0
AE6Z6NJZH4ZMVYCQMP7UECCU4PHA,1,1,1
AE72VK2S5D72PESFDL5RSSVATRAA,2,1,1
AE73SNHTNJZFYKC5F6HU2XTACSIQ,1,0,1
AE77QMXN2B6OAI6DRONTSFWN2WTQ,1,0,0
AE77WKO3A34DXB7NSW5W5IX5PZXQ,10,1,1
AE7A3SEBIE6BVCB3Z42KQ4OJXRQQ,1,0,1
AE7AFJMDLAIFMVTOMKZC2GFBPL4A,9,1,1
AE7BO7RPZAQNHUKBYO7RUG4RHLZA,1,0,0
AE7BOA5KPXAQ7ZGRRJENZQTQYCKQ,3,0,1
AE7BP3GTRBQGQOGDMGG2RBBYHSTA,1,0,1
AE7BUA7J5AC6DB4UNL5SUOUB4RAA,5,0,1
AE7HWBSLCFFQIFBNBUBY77EKYC3Q,1,0,0
